Exch,ExchType,ScripCode,Name,Expiry,ScripType,StrikeRate,FullName,TickSize,LotSize,QtyLimit,Multiplier,SymbolRoot,BOCOAllowed,ISIN,ScripData,Series
N,D,120355,SUNPHARMA 25 NOV 2025 CE 1840.00,2025-11-25,CE,1840,SUNPHARMA 25 NOV 2025 CE 1840.00,0.05,350,14000,1,SUNPHARMA,N,INE044A01036,SUNPHARMA 25 NOV 2025 CE 1840.00_20251125_CE_1840,XX
N,D,120373,SUNPHARMA 25 NOV 2025 CE 2080.00,2025-11-25,CE,2080,SUNPHARMA 25 NOV 2025 CE 2080.00,0.05,350,14000,1,SUNPHARMA,N,INE044A01036,SUNPHARMA 25 NOV 2025 CE 2080.00_20251125_CE_2080,XX
N,D,120380,SUNPHARMA 25 NOV 2025 PE 2320.00,2025-11-25,PE,2320,SUNPHARMA 25 NOV 2025 PE 2320.00,0.05,350,14000,1,SUNPHARMA,N,INE044A01036,SUNPHARMA 25 NOV 2025 PE 2320.00_20251125_PE_2320,XX
N,D,120384,SUPREMEIND 28 OCT 2025 PE 3500.00,2025-10-28,PE,3500,SUPREMEIND 28 OCT 2025 PE 3500.00,0.05,175,5250,1,SUPREMEIND,N,INE195A01028,SUPREMEIND 28 OCT 2025 PE 3500.00_20251028_PE_3500,XX
N,D,119505,SOLARINDS 25 NOV 2025 PE 11500.00,2025-11-25,PE,11500,SOLARINDS 25 NOV 2025 PE 11500.00,0.05,75,1500,1,SOLARINDS,N,INE343H01029,SOLARINDS 25 NOV 2025 PE 11500.00_20251125_PE_11500,XX
N,D,119537,SOLARINDS 25 NOV 2025 PE 13000.00,2025-11-25,PE,13000,SOLARINDS 25 NOV 2025 PE 13000.00,0.05,75,1500,1,SOLARINDS,N,INE343H01029,SOLARINDS 25 NOV 2025 PE 13000.00_20251125_PE_13000,XX
N,D,119555,SOLARINDS 25 NOV 2025 PE 16500.00,2025-11-25,PE,16500,SOLARINDS 25 NOV 2025 PE 16500.00,0.05,75,1500,1,SOLARINDS,N,INE343H01029,SOLARINDS 25 NOV 2025 PE 16500.00_20251125_PE_16500,XX
N,D,119562,SOLARINDS 25 NOV 2025 CE 18500.00,2025-11-25,CE,18500,SOLARINDS 25 NOV 2025 CE 18500.00,0.05,75,1500,1,SOLARINDS,N,INE343H01029,SOLARINDS 25 NOV 2025 CE 18500.00_20251125_CE_18500,XX
N,D,119605,SONACOMS 28 OCT 2025 PE 330.00,2025-10-28,PE,330,SONACOMS 28 OCT 2025 PE 330.00,0.05,1050,52500,1,SONACOMS,N,INE073K01018,SONACOMS 28 OCT 2025 PE 330.00_20251028_PE_330,XX
N,D,119623,SONACOMS 28 OCT 2025 PE 470.00,2025-10-28,PE,470,SONACOMS 28 OCT 2025 PE 470.00,0.05,1050,52500,1,SONACOMS,N,INE073K01018,SONACOMS 28 OCT 2025 PE 470.00_20251028_PE_470,XX
N,D,41278,CONCOR 25 NOV 2025 CE 705.00,2025-11-25,CE,705,CONCOR 25 NOV 2025 CE 705.00,0.05,1250,50000,1,CONCOR,N,INE111A01025,CONCOR 25 NOV 2025 CE 705.00_20251125_CE_705,XX
N,D,41293,ETERNAL 28 OCT 2025 PE 500.00,2025-10-28,PE,500,ETERNAL 28 OCT 2025 PE 500.00,0.05,2425,72750,1,ETERNAL,N,INE758T01015,ETERNAL 28 OCT 2025 PE 500.00_20251028_PE_500,XX
N,D,41295,ETERNAL 25 NOV 2025 PE 500.00,2025-11-25,PE,500,ETERNAL 25 NOV 2025 PE 500.00,0.05,2425,72750,1,ETERNAL,N,INE758T01015,ETERNAL 25 NOV 2025 PE 500.00_20251125_PE_500,XX
